"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_1.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"8" ,2.687,2.797,3.097,103434.88,682653.47,100.00,100.00,98.73,0.410,,357.07,2953.34,,,,,357.07,2953.34,,104493.60,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d"," -ESI EIC(74.0256) Scan Frag=175.0V m3_3.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"1" ,0.817,0.865,0.896,462.82,841.41,0.13,0.50,0.13,0.030,,0.00,0.00,,,,,101.75,0.00,0.72,401.63,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"2" ,0.896,0.910,0.923,845.93,507.50,0.08,0.92,0.08,0.010,,0.00,0.00,,,,,0.00,-3.36,0.99,508.54,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"3" ,0.923,0.990,1.003,254.81,380.20,0.06,0.28,0.06,0.025,,0.00,0.00,,,,,-3.36,-13.25,3.94,369.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"4" ,1.003,1.029,1.046,591.98,302.74,0.05,0.64,0.05,0.009,,0.00,0.00,,,,,-13.25,-18.61,0.95,788.07,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"5" ,1.046,1.061,1.095,305.20,335.78,0.05,0.33,0.05,0.018,,0.00,0.00,,,,,-18.61,-24.80,0.53,285.46,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"6" ,1.095,1.129,1.139,270.08,189.56,0.03,0.29,0.03,0.012,,0.00,0.00,,,,,-24.80,-30.27,1.28,344.60,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"7" ,1.139,1.161,1.250,607.20,1803.73,0.29,0.66,0.28,0.050,,0.00,0.00,,,,,-30.27,-44.06,0.20,640.53,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"8" ,1.250,1.260,1.336,467.94,1876.32,0.30,0.51,0.29,0.067,,0.00,0.00,,,,,-44.06,-54.78,0.11,428.54,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"9" ,1.336,1.370,1.386,400.21,566.75,0.09,0.44,0.09,0.024,,0.00,0.00,,,,,-54.78,-61.08,2.07,357.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"10" ,1.386,1.473,1.505,288.54,639.99,0.10,0.31,0.10,0.037,,0.00,0.00,,,,,-61.08,-75.92,2.50,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"11" ,2.700,2.794,3.137,91973.93,629164.77,100.00,100.00,98.83,0.438,,0.00,2325.84,,,,,0.00,2325.84,,92474.41,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d"," -ESI EIC(74.0256) Scan Frag=175.0V m3_4.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"1" ,0.837,0.861,0.897,341.78,582.40,0.10,0.43,0.10,0.031,,0.00,0.00,,,,,0.00,0.00,0.30,364.86,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"2" ,0.897,0.911,0.925,365.11,233.44,0.04,0.46,0.04,0.011,,0.00,0.00,,,,,0.00,0.00,0.94,371.01,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"3" ,0.925,0.965,0.983,546.73,741.99,0.13,0.69,0.13,0.023,,0.00,0.00,,,,,0.00,0.00,2.80,426.79,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"4" ,0.983,1.036,1.066,328.52,509.75,0.09,0.41,0.09,0.026,,0.00,0.00,,,,,0.00,0.00,1.14,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"5" ,1.066,1.088,1.102,307.34,301.12,0.05,0.39,0.05,0.016,,0.00,0.00,,,,,0.00,0.00,1.23,521.05,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"6" ,1.102,1.116,1.142,414.42,551.81,0.10,0.52,0.10,0.022,,0.00,0.00,,,,,0.00,0.00,0.42,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"7" ,1.142,1.189,1.202,570.05,631.43,0.11,0.72,0.11,0.018,,0.00,262.36,,,,,0.00,0.00,1.49,456.01,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"8" ,1.202,1.217,1.250,402.80,784.36,0.14,0.51,0.14,0.032,,262.36,0.00,,,,,0.00,0.00,0.48,437.79,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"9" ,1.250,1.271,1.330,837.77,1564.70,0.28,1.06,0.28,0.031,,0.00,0.00,,,,,0.00,0.00,0.50,890.68,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"10" ,1.330,1.349,1.384,579.62,740.80,0.13,0.73,0.13,0.021,,0.00,0.00,,,,,0.00,0.00,0.38,736.27,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"11" ,1.384,1.399,1.506,289.68,469.55,0.08,0.37,0.08,0.027,,0.00,0.00,,,,,0.00,15.32,0.26,300.10,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"12" ,2.639,2.794,3.138,79363.56,557457.01,100.00,100.00,98.74,0.499,,496.48,2698.03,,,,,496.48,0.00,,79705.57,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d"," -ESI EIC(74.0256) Scan Frag=175.0V m3_neg_1.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"1" ,0.811,0.831,0.858,474.32,473.62,0.08,0.49,0.07,0.017,,0.00,0.00,,,,,0.00,0.00,0.42,0.00,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"2" ,0.858,0.872,0.923,460.20,719.17,0.11,0.47,0.11,0.026,,0.00,0.00,,,,,0.00,0.00,0.26,643.93,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"3" ,0.923,0.957,0.970,895.25,399.98,0.06,0.92,0.06,0.007,,0.00,0.00,,,,,0.00,0.00,0.92,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"4" ,0.970,1.029,1.072,644.77,830.52,0.13,0.66,0.13,0.025,,0.00,0.00,,,,,0.00,0.00,0.72,424.23,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"5" ,1.072,1.088,1.123,522.62,563.14,0.09,0.53,0.09,0.018,,0.00,0.00,,,,,0.00,0.00,0.42,589.96,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"6" ,1.123,1.149,1.165,581.79,516.30,0.08,0.60,0.08,0.015,,0.00,0.00,,,,,0.00,0.00,1.73,756.65,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"7" ,1.165,1.181,1.212,495.25,665.98,0.11,0.51,0.10,0.022,,0.00,0.00,,,,,0.00,0.00,0.34,420.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"8" ,1.212,1.237,1.266,559.38,962.08,0.15,0.57,0.15,0.029,,0.00,0.00,,,,,0.00,0.00,0.94,598.40,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"9" ,1.266,1.306,1.320,845.74,1149.36,0.18,0.87,0.18,0.023,,0.00,0.00,,,,,0.00,0.00,3.85,1106.05,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"10" ,1.320,1.338,1.357,364.97,359.42,0.06,0.37,0.06,0.017,,0.00,0.00,,,,,0.00,0.00,0.76,347.82,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"11" ,1.357,1.367,1.377,179.58,79.46,0.01,0.18,0.01,0.007,,0.00,0.00,,,,,0.00,0.00,0.96,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"12" ,1.377,1.392,1.405,325.60,225.69,0.04,0.33,0.04,0.012,,0.00,0.00,,,,,0.00,0.00,1.06,279.04,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"13" ,1.405,1.425,1.506,227.91,530.39,0.08,0.23,0.08,0.036,,0.00,0.00,,,,,0.00,0.00,0.24,348.14,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_1.d" ,"14" ,2.638,2.793,3.114,97756.44,628148.33,100.00,100.00,98.82,0.476,,207.88,2914.31,,,,,207.88,2914.31,,98845.48,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d"," -ESI EIC(74.0256) Scan Frag=175.0V m3_neg_2.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"1" ,0.939,0.958,0.972,602.47,396.21,0.07,0.78,0.07,0.011,,0.00,0.00,,,,,0.00,0.00,1.07,385.68,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"2" ,0.972,1.019,1.058,396.23,695.48,0.13,0.51,0.12,0.029,,0.00,0.00,,,,,0.00,0.00,0.44,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"3" ,1.058,1.085,1.119,591.38,1084.30,0.20,0.76,0.19,0.031,,0.00,297.76,,,,,0.00,0.00,0.88,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"4" ,1.119,1.130,1.144,257.23,231.62,0.04,0.33,0.04,0.015,,297.76,0.00,,,,,0.00,0.00,1.05,438.02,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"5" ,1.144,1.164,1.181,933.05,879.12,0.16,1.21,0.16,0.016,,0.00,0.00,,,,,0.00,0.00,1.14,1231.14,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"6" ,1.181,1.200,1.241,748.89,1105.14,0.20,0.97,0.20,0.025,,0.00,0.00,,,,,0.00,0.00,0.47,379.26,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"7" ,1.241,1.317,1.335,641.05,886.45,0.16,0.83,0.16,0.021,,0.00,0.00,,,,,0.00,0.00,2.79,557.08,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"8" ,1.335,1.354,1.385,308.39,410.81,0.07,0.40,0.07,0.020,,0.00,0.00,,,,,0.00,0.00,0.42,313.41,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"9" ,1.385,1.435,1.451,408.89,794.28,0.14,0.53,0.14,0.032,,0.00,0.00,,,,,0.00,0.00,3.19,704.03,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"10" ,1.451,1.462,1.476,214.25,135.97,0.02,0.28,0.02,0.011,,0.00,0.00,,,,,0.00,0.00,0.92,215.79,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"11" ,1.476,1.491,1.501,424.47,418.56,0.08,0.55,0.08,0.016,,0.00,333.47,,,,,0.00,13.61,0.56,384.38,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_2.d" ,"12" ,2.698,2.803,3.169,77424.43,550811.65,100.00,100.00,98.74,0.471,,248.79,1266.70,,,,,248.79,1266.70,,77900.77,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d"," -ESI EIC(74.0256) Scan Frag=175.0V m3_neg_3.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"1" ,0.886,0.899,0.935,534.57,921.10,0.21,0.84,0.21,0.029,,0.00,0.00,,,,,99.50,26.50,0.28,757.17,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"2" ,0.935,0.986,1.038,509.23,938.99,0.22,0.80,0.21,0.031,,0.00,0.00,,,,,26.50,-10.91,1.28,403.77,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"3" ,1.038,1.074,1.117,533.98,1126.82,0.26,0.84,0.25,0.035,,0.00,0.00,,,,,-10.91,-39.01,1.18,471.24,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"4" ,1.117,1.128,1.140,658.32,411.48,0.10,1.04,0.09,0.010,,0.00,0.00,,,,,-39.01,-47.42,0.80,208.22,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"5" ,1.140,1.166,1.177,1118.22,1584.81,0.37,1.76,0.35,0.024,,0.00,803.93,,,,,-47.42,-60.70,1.73,1177.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"6" ,1.177,1.199,1.275,2026.25,6481.26,1.50,3.19,1.45,0.043,,803.93,679.05,,,,,-60.70,-96.18,0.29,2147.31,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"7" ,1.275,1.284,1.314,865.51,1377.93,0.32,1.36,0.31,0.027,,679.05,0.00,,,,,-96.18,-110.18,0.44,863.13,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"8" ,1.314,1.399,1.414,597.98,1878.47,0.44,0.94,0.42,0.052,,0.00,0.00,,,,,-110.18,-146.03,4.40,386.21,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"9" ,1.414,1.424,1.438,368.96,358.26,0.08,0.58,0.08,0.016,,0.00,0.00,,,,,-146.03,-154.62,0.86,219.09,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"10" ,1.438,1.450,1.475,419.73,585.22,0.14,0.66,0.13,0.023,,0.00,0.00,,,,,-154.62,-167.90,0.49,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"11" ,1.475,1.488,1.504,482.89,530.74,0.12,0.76,0.12,0.018,,0.00,0.00,,,,,-167.90,-178.42,1.08,284.35,,,  ,208.0618,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_neg_3.d" ,"12" ,2.648,2.803,3.147,63583.27,430788.28,100.00,100.00,96.38,0.499,,223.16,1390.78,,,,,223.16,1390.78,,64169.67,,,MM,,,,,M,,,,,,,,

