"D:\Projects\Marchand\Data\Carothers\231003\sds_l_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_l_1.d "
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"11" ,5.893,5.904,5.937,12840.76,23035.22,4.27,10.52,1.08,0.044,0.121,0.00,0.00,5.804,5.810,6.153,6.175,0.00,0.00,0.35,12840.76,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"12" ,6.258,6.264,6.302,11809.67,21452.96,3.98,9.68,1.00,0.044,0.121,0.00,0.00,6.153,6.175,6.308,6.319,0.00,0.00,0.43,11809.67,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"13" ,6.402,6.408,6.446,10146.41,21568.96,4.00,8.31,1.01,0.044,0.049,0.00,0.00,6.386,6.397,6.469,6.480,0.00,0.00,2.39,10146.41,,,  ,248.9705,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_p_3.d "
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"1" ,0.629,0.636,0.683,7541.74,13525.78,2.09,5.84,1.21,0.054,0.065,12662.75,14711.83,0.619,0.625,0.647,0.796,12662.75,14711.83,10.18,20463.13,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"2" ,0.774,0.835,1.048,129045.12,646763.50,100.00,100.00,58.07,0.273,0.062,15764.13,7902.61,0.647,0.796,1.057,1.057,3683.12,7902.61,3.67,133668.59,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"3" ,2.176,2.209,2.336,33819.72,207207.12,32.04,26.21,18.60,0.161,0.134,0.00,0.00,2.093,2.093,2.331,2.397,0.00,0.00,3.93,33819.72,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"4" ,2.488,2.508,2.544,16666.43,32366.50,5.00,12.92,2.91,0.056,0.129,5456.88,1880.26,2.331,2.397,2.547,2.597,5456.88,1880.26,0.16,20819.05,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"5" ,5.482,5.527,5.549,13495.54,41056.74,6.35,10.46,3.69,0.066,0.193,0.00,0.00,5.338,5.366,5.577,5.593,0.00,0.00,0.12,13495.54,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"6" ,5.826,5.831,5.854,6925.82,8268.76,1.28,5.37,0.74,0.028,0.152,8738.43,0.00,5.671,5.676,5.909,5.909,8738.43,0.00,0.12,13913.41,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"7" ,5.975,5.986,5.997,13869.17,9560.56,1.48,10.75,0.86,0.022,0.085,0.00,796.09,5.909,5.909,5.998,6.009,0.00,796.09,0.12,14275.85,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"8" ,6.014,6.147,6.197,12589.18,104094.68,16.09,9.76,9.35,0.183,0.186,0.00,0.00,5.998,6.009,6.241,6.263,0.00,0.00,0.34,12589.18,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"9" ,6.291,6.335,6.341,11000.26,24131.14,3.73,8.52,2.17,0.050,0.088,0.00,0.00,6.241,6.263,6.346,6.346,0.00,0.00,0.06,11000.26,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"10" ,6.435,6.441,6.468,10973.96,13990.24,2.16,8.50,1.26,0.033,0.121,0.00,0.00,6.346,6.346,6.707,6.724,0.00,0.00,0.27,10973.96,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_3.d" ,"11" ,6.960,6.990,7.013,9443.41,12883.03,1.99,7.32,1.16,0.053,0.029,1409.07,1258.62,6.707,6.724,7.007,10.986,1409.07,1258.62,0.57,10766.74,,,  ,248.9705,,,,,,,,,,,,

