"D:\Projects\Marchand\Data\Carothers\230815\full_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V full_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_1.d" ,"3" ,0.718,0.735,0.758,1758.85,2278.17,2.82,9.68,2.07,0.019,,0.00,1640.37,,,,,0.00,0.00,0.48,1542.17,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_1.d" ,"4" ,0.758,0.799,0.809,2636.86,5613.85,6.96,14.52,5.09,0.035,,1640.37,1600.03,,,,,0.00,0.00,4.12,3385.39,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_1.d" ,"5" ,0.809,0.822,0.830,2267.78,2390.37,2.96,12.48,2.17,0.018,,1600.03,2000.72,,,,,0.00,0.00,1.27,2228.72,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_1.d" ,"6" ,0.830,0.841,0.865,2697.44,3590.29,4.45,14.85,3.26,0.022,,2000.72,0.00,,,,,0.00,0.00,0.71,2344.07,,,  ,190.0363,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_1.d" ,"7" ,0.865,0.940,1.095,18164.12,80709.65,100.00,100.00,73.19,0.057,,0.00,1817.43,,,,,0.00,387.06,0.56,16451.86,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_1.d" ,"8" ,1.095,1.105,1.115,1585.46,1288.78,1.60,8.73,1.17,0.014,,1817.43,1417.01,,,,,387.06,446.26,0.86,2135.62,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_1.d" ,"9" ,1.115,1.127,1.201,1514.58,2687.34,3.33,8.34,2.44,0.030,,1417.01,1246.04,,,,,446.26,702.50,0.38,2399.09,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V glyA-sds_2.d "
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"1" ,0.556,0.590,0.611,2344.92,3735.71,6.16,12.67,3.46,0.027,,0.00,1244.84,,,,,0.00,0.00,0.72,1541.92,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"2" ,0.611,0.626,0.650,2083.70,3233.77,5.33,11.26,3.00,0.024,,1244.84,0.00,,,,,0.00,0.00,0.92,2094.67,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"3" ,0.650,0.665,0.677,1400.20,1635.42,2.70,7.56,1.52,0.019,,0.00,0.00,,,,,0.00,0.00,1.32,1440.62,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"4" ,0.677,0.689,0.765,1847.29,7515.83,12.39,9.98,6.96,0.068,,0.00,0.00,,,,,0.00,0.00,0.12,1317.03,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"5" ,0.765,0.777,0.805,2046.83,3813.59,6.29,11.06,3.53,0.031,,0.00,1485.80,,,,,0.00,0.00,0.33,2119.71,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"6" ,0.805,0.814,0.824,2497.23,1820.90,3.00,13.49,1.69,0.012,,1485.80,1098.34,,,,,0.00,0.00,1.00,2833.60,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"7" ,0.824,0.842,0.855,2199.74,2655.54,4.38,11.88,2.46,0.018,,1098.34,785.39,,,,,0.00,0.00,1.60,2322.76,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"8" ,0.855,0.871,0.881,1196.26,1367.38,2.25,6.46,1.27,0.018,,785.39,0.00,,,,,0.00,0.00,1.47,1212.89,,,  ,190.0284,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"9" ,0.881,0.936,0.983,18510.78,60675.11,100.00,100.00,56.21,0.043,,0.00,5899.24,,,,,0.00,0.00,0.58,17760.16,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"10" ,0.983,0.993,1.014,6357.36,7840.29,12.92,34.34,7.26,0.021,,5899.24,0.00,,,,,0.00,0.00,0.62,5379.11,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"11" ,1.014,1.032,1.055,2350.77,3598.21,5.93,12.70,3.33,0.024,,0.00,0.00,,,,,0.00,0.00,1.20,1972.25,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"12" ,1.055,1.065,1.074,1586.58,812.28,1.34,8.57,0.75,0.009,,0.00,0.00,,,,,0.00,0.00,0.83,2439.85,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"13" ,1.074,1.090,1.102,2394.97,2711.56,4.47,12.94,2.51,0.019,,0.00,1462.60,,,,,0.00,0.00,1.06,2591.23,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"14" ,1.102,1.113,1.136,2065.59,3694.18,6.09,11.16,3.42,0.030,,1462.60,0.00,,,,,0.00,0.00,0.49,1897.72,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"15" ,1.136,1.146,1.171,1767.46,2100.79,3.46,9.55,1.95,0.020,,0.00,0.00,,,,,0.00,0.00,0.59,1273.01,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_2.d" ,"16" ,1.171,1.185,1.201,1280.64,730.81,1.20,6.92,0.68,0.010,,0.00,675.89,,,,,0.00,741.50,0.94,2075.99,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\init.d"," -ESI EIC(87.0082) Scan Frag=175.0V init.d "
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"1" ,0.553,0.572,0.586,2532.72,1923.96,14.64,55.38,2.55,0.013,,0.00,0.00,,,,,0.00,44.81,0.59,1689.48,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"2" ,0.586,0.597,0.627,2085.04,3604.50,27.43,45.59,4.78,0.029,,0.00,1341.36,,,,,44.81,100.69,0.33,2209.23,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"3" ,0.627,0.638,0.655,1793.42,1944.38,14.80,39.21,2.58,0.018,,1341.36,764.22,,,,,100.69,140.49,1.07,1967.63,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"4" ,0.655,0.677,0.686,1731.62,1930.75,14.70,37.86,2.56,0.018,,764.22,0.00,,,,,140.49,182.20,2.29,1775.60,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"5" ,0.686,0.697,0.726,2519.93,3651.02,27.79,55.10,4.85,0.024,,0.00,1465.05,,,,,182.20,237.21,0.36,2922.67,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"6" ,0.726,0.748,0.759,4139.50,5216.72,39.71,90.51,6.92,0.020,,1465.05,3478.38,,,,,237.21,282.55,1.48,3853.95,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"7" ,0.759,0.789,0.835,3689.86,13138.50,100.00,80.68,17.44,0.055,,3478.38,0.00,,,,,282.55,387.49,0.69,4049.19,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"8" ,0.835,0.846,0.868,3287.92,4929.18,37.52,71.89,6.54,0.025,,0.00,2055.47,,,,,387.49,433.13,0.46,3537.67,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"9" ,0.868,0.880,0.926,4573.56,9929.84,75.58,100.00,13.18,0.036,,2055.47,2976.23,,,,,433.13,513.55,0.26,5671.78,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"10" ,0.926,0.937,1.012,3395.04,11139.92,84.79,74.23,14.78,0.055,,2976.23,0.00,,,,,513.55,631.56,0.17,3506.52,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"11" ,1.012,1.036,1.049,2656.71,4435.35,33.76,58.09,5.89,0.024,,0.00,2275.40,,,,,631.56,681.81,1.77,3196.78,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"12" ,1.049,1.067,1.086,2646.14,4279.12,32.57,57.86,5.68,0.025,,2275.40,1785.30,,,,,681.81,733.04,1.19,3601.66,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"13" ,1.086,1.099,1.120,2653.60,3449.02,26.25,58.02,4.58,0.022,,1785.30,2083.54,,,,,733.04,780.39,0.51,3252.39,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"14" ,1.120,1.133,1.147,2310.35,2528.97,19.25,50.52,3.36,0.018,,2083.54,1957.39,,,,,780.39,816.67,1.32,3037.06,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"15" ,1.147,1.158,1.170,1708.20,1500.87,11.42,37.35,1.99,0.015,,1957.39,1632.00,,,,,816.67,1270.09,0.79,2232.97,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\init.d" ,"16" ,1.170,1.183,1.204,1184.11,1744.40,13.28,25.89,2.32,0.025,,1632.00,2002.21,,,,,1270.09,1916.50,0.59,2310.82,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V mod1_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"1" ,0.554,0.577,0.586,2761.82,2197.65,5.49,20.59,1.93,0.013,,0.00,0.00,,,,,0.00,0.00,1.09,2335.56,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"2" ,0.586,0.598,0.621,3341.51,5102.70,12.75,24.91,4.48,0.025,,0.00,2116.25,,,,,0.00,0.00,0.49,2965.72,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"3" ,0.621,0.632,0.642,2966.22,3113.40,7.78,22.11,2.73,0.017,,2116.25,2574.45,,,,,0.00,0.00,1.14,2771.31,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"4" ,0.642,0.693,0.780,4093.09,22297.65,55.71,30.51,19.58,0.091,,2574.45,0.00,,,,,0.00,0.00,0.52,3652.74,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"5" ,0.780,0.806,0.846,3796.48,9325.57,23.30,28.30,8.19,0.041,,0.00,0.00,,,,,0.00,0.00,0.68,4179.79,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"6" ,0.846,0.857,0.890,3557.24,6777.88,16.93,26.51,5.95,0.032,,0.00,2462.56,,,,,0.00,0.00,0.29,3474.16,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"7" ,0.890,0.899,0.921,2978.78,4259.82,10.64,22.20,3.74,0.024,,2462.56,1664.33,,,,,0.00,0.00,0.55,2955.08,,,  ,190.0284,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"8" ,0.921,0.941,0.953,2524.46,3912.53,9.78,18.82,3.43,0.026,,1664.33,1662.11,,,,,0.00,0.00,2.21,2526.01,,,  ,190.0284,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"9" ,0.953,1.000,1.046,13416.56,40023.93,100.00,100.00,35.14,0.046,,1662.11,0.00,,,,,0.00,0.00,0.85,14306.66,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"10" ,1.046,1.055,1.099,5703.87,9743.41,24.34,42.51,8.55,0.028,,0.00,0.00,,,,,0.00,0.00,0.25,5742.67,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"11" ,1.099,1.115,1.127,2744.21,3224.41,8.06,20.45,2.83,0.020,,0.00,2036.12,,,,,0.00,257.45,1.02,3292.57,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_1.d" ,"12" ,1.127,1.151,1.168,2049.80,3926.60,9.81,15.28,3.45,0.032,,2036.12,0.00,,,,,257.45,632.20,2.14,2754.60,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V mod1_2.d "
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"1" ,0.555,0.589,0.600,2289.42,2561.83,9.66,18.43,2.88,0.017,,0.00,0.00,,,,,0.00,0.00,1.84,1833.16,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"2" ,0.600,0.632,0.670,2535.92,7389.81,27.86,20.42,8.31,0.040,,0.00,0.00,,,,,0.00,0.00,0.89,2602.05,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"3" ,0.670,0.681,0.694,3343.49,3013.60,11.36,26.92,3.39,0.015,,0.00,0.00,,,,,0.00,0.00,0.82,3273.02,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"4" ,0.694,0.702,0.717,2020.35,1359.28,5.12,16.27,1.53,0.011,,0.00,0.00,,,,,0.00,0.00,1.01,1923.80,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"5" ,0.717,0.802,0.844,3366.00,15164.92,57.17,27.10,17.05,0.087,,0.00,1482.96,,,,,0.00,0.00,1.74,3544.43,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"6" ,0.844,0.857,0.892,2709.37,5284.82,19.92,21.82,5.94,0.033,,1482.96,1145.62,,,,,0.00,0.00,0.36,2551.58,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"7" ,0.892,0.904,0.934,1963.54,4125.91,15.56,15.81,4.64,0.035,,1145.62,0.00,,,,,0.00,0.00,0.36,2156.11,,,  ,190.0284,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"8" ,0.934,0.969,0.991,12419.39,26524.44,100.00,100.00,29.83,0.033,,0.00,0.00,,,,,0.00,0.00,1.44,12638.68,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"9" ,0.991,1.005,1.073,6521.83,14392.85,54.26,52.51,16.19,0.037,,0.00,0.00,,,,,0.00,0.00,0.31,6340.51,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"10" ,1.073,1.095,1.106,2448.98,2887.86,10.89,19.72,3.25,0.020,,0.00,1532.15,,,,,0.00,229.08,2.01,2896.35,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1_2.d" ,"11" ,1.106,1.125,1.188,1899.12,6213.66,23.43,15.29,6.99,0.055,,1532.15,1766.90,,,,,229.08,806.71,0.40,2310.12,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V mod1-neg_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d" ,"1" ,0.561,0.592,0.614,3734.11,8136.57,16.47,24.75,6.37,0.039,,0.00,3222.30,,,,,0.00,100.02,0.83,3823.13,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d" ,"2" ,0.614,0.626,0.656,3896.09,8369.20,16.95,25.82,6.55,0.036,,3222.30,3093.80,,,,,100.02,179.77,0.42,4047.88,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d" ,"3" ,0.656,0.672,0.681,3752.14,4859.46,9.84,24.86,3.80,0.022,,3093.80,3527.70,,,,,179.77,226.64,1.47,4081.34,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d" ,"4" ,0.681,0.703,0.734,4868.51,10506.48,21.27,32.26,8.22,0.036,,3527.70,3215.64,,,,,226.64,326.95,0.86,5543.12,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d" ,"5" ,0.734,0.764,0.854,3704.30,19308.46,39.09,24.55,15.11,0.087,,3215.64,1788.26,,,,,326.95,553.84,0.36,4356.43,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d" ,"6" ,0.854,0.878,0.973,3947.59,15622.05,31.63,26.16,12.22,0.066,,1788.26,1686.30,,,,,553.84,778.45,0.29,3837.30,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d" ,"7" ,0.973,0.984,0.995,1730.57,1929.56,3.91,11.47,1.51,0.019,,1686.30,1968.33,,,,,778.45,820.01,0.91,2296.51,,,  ,190.0284,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d" ,"8" ,0.995,1.056,1.110,15090.10,49389.25,100.00,100.00,38.64,0.049,,1968.33,5995.10,,,,,820.01,1037.34,0.62,14902.52,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d" ,"9" ,1.110,1.122,1.154,4993.45,8602.74,17.42,33.09,6.73,0.029,,5995.10,2906.34,,,,,1037.34,1120.51,0.43,6237.67,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_1.d" ,"10" ,1.154,1.164,1.174,1903.58,1091.26,2.21,12.61,0.85,0.010,,2906.34,1943.78,,,,,1120.51,1996.05,1.15,3613.06,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V mod1-neg_2.d "
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"1" ,0.564,0.602,0.616,5198.56,10264.21,27.04,30.53,7.11,0.033,,0.00,3203.58,,,,,0.00,0.00,2.08,5345.91,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"2" ,0.616,0.626,0.646,5130.65,6617.34,17.43,30.13,4.58,0.021,,3203.58,2567.04,,,,,0.00,0.00,0.56,3861.06,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"3" ,0.646,0.658,0.697,4028.86,8841.59,23.29,23.66,6.12,0.037,,2567.04,2854.02,,,,,0.00,0.00,0.35,4221.60,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"4" ,0.697,0.714,0.736,5326.56,9271.20,24.43,31.28,6.42,0.029,,2854.02,0.00,,,,,0.00,0.00,0.83,5721.16,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"5" ,0.736,0.782,0.799,4728.55,13389.08,35.28,27.77,9.27,0.047,,0.00,2903.17,,,,,0.00,0.00,2.58,4515.56,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"6" ,0.799,0.809,0.829,4410.27,6947.39,18.30,25.90,4.81,0.026,,2903.17,2762.34,,,,,0.00,0.00,0.46,3695.22,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"7" ,0.829,0.841,0.896,4485.48,13918.61,36.67,26.34,9.64,0.052,,2762.34,3229.76,,,,,0.00,0.00,0.24,4502.40,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"8" ,0.896,0.910,0.940,3177.17,7267.56,19.15,18.66,5.03,0.034,,3229.76,1362.93,,,,,0.00,0.00,0.50,3124.14,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"9" ,0.940,1.043,1.056,17027.29,37955.02,100.00,100.00,26.29,0.034,,1362.93,0.00,,,,,0.00,0.00,6.13,17587.62,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"10" ,1.056,1.070,1.085,9653.81,11485.61,30.26,56.70,7.96,0.020,,0.00,5488.01,,,,,0.00,198.17,0.93,9790.32,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"11" ,1.085,1.097,1.119,6372.76,8533.14,22.48,37.43,5.91,0.022,,5488.01,3803.18,,,,,198.17,424.07,0.53,5773.18,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"12" ,1.119,1.147,1.161,2592.00,5558.39,14.64,15.22,3.85,0.036,,3803.18,2248.09,,,,,424.07,698.63,2.43,2689.48,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"13" ,1.161,1.172,1.180,1957.82,2045.49,5.39,11.50,1.42,0.017,,2248.09,2639.60,,,,,698.63,829.75,1.35,2903.85,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod1-neg_2.d" ,"14" ,1.180,1.191,1.204,2563.92,2275.34,5.99,15.06,1.58,0.015,,2639.60,1985.16,,,,,829.75,989.50,1.19,3041.23,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V mod3-neg_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"1" ,0.559,0.595,0.613,2038.63,3172.71,10.96,17.94,3.98,0.026,,0.00,1428.39,,,,,0.00,0.00,0.69,1647.61,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"2" ,0.613,0.623,0.708,1944.82,8743.61,30.20,17.11,10.96,0.075,,1428.39,1328.09,,,,,0.00,0.00,0.13,1951.01,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"3" ,0.708,0.719,0.735,2225.46,2966.90,10.25,19.58,3.72,0.022,,1328.09,1475.69,,,,,0.00,0.00,0.66,2282.12,,,  ,248.9694,,,,,,,,,,,,
